Metrics,Date,Energy,Utilities,Materials,Financials,Industrials,Health Care,Real Estate,Consumer Staples
% Change YTD,31/12/2017,-0.164891,0.055313,-0.122327,-0.103622,-0.107094,0.099702,-0.008822,-0.066717
EPS NTMA Growth 1 year,31/12/2017,35.723908,5.282117,19.393683,15.715058,9.251929,6.462594,6.636961,7.675941
Price to Earnings 12 Months Forward,31/12/2017,25.508669,17.815303,17.996626,14.761047,19.565679,16.686987,18.005851,20.546339
Price to Book Value 12 Months Forward,31/12/2017,1.976935,1.90644,2.710737,1.492941,4.81113,3.627213,3.361916,5.126537
Price to Cash Flow 12 Months Forward,31/12/2017,9.261856,7.350456,11.405573,,13.51116,14.052345,17.884776,15.665557
Price to Sales 12 Months Forward,31/12/2017,1.441834,2.034912,1.917146,2.587506,1.827245,1.678083,6.74946,1.375095
Dividend Yield 12 Months Forward,31/12/2017,2.917569,3.599661,1.869044,1.877736,1.887316,1.750789,3.438122,2.723079
Dividend Payout 12 Months Forward,31/12/2017,74.416291,64.127993,33.635214,27.714338,36.888686,29.156463,61.905344,55.948897
Return on Equity 12 Months Forward,31/12/2017,7.753765,10.716744,15.058158,10.129363,24.613871,21.760747,18.635644,24.951676
Enterprise Value to Sales 12 Months Forward,31/12/2017,1.741216,3.595634,2.309995,2.438125,2.185649,2.238575,9.210743,1.593237
Enterprise Value to EBIT 12 Months Forward,31/12/2017,17.730268,15.629175,14.165037,30.928421,15.235058,13.661422,33.895365,15.738997
Enterprise Value to EBITDA 12 Months Forward,31/12/2017,8.714775,10.019456,10.155176,,11.882072,11.9975,18.580582,12.865571
Price to Free Cash Flow 12 Months Forward,31/12/2017,26.804233,-89.159213,18.377682,,19.593611,16.824184,29.162958,21.042838
PEG 12 Months Forward,31/12/2017,1.177137,3.67114,1.802877,1.416329,1.811377,1.587686,1.77546,2.473204
EBIT Margin 12 Months Forward,31/12/2017,9.825787,23.006124,16.309261,28.494695,14.346499,13.964127,27.155793,10.122943
EBITDA Margin 12 Months Forward,31/12/2017,19.981699,35.886904,22.748189,,18.394664,15.880583,49.757955,12.38379
Assets/Equity 12 Months Forward,31/12/2017,1.989764,3.867498,2.40434,8.154507,3.415661,2.480173,2.515744,2.9913
Net Debt/EBITDA 12 Months Forward,31/12/2017,1.276883,4.558992,1.381291,,1.357221,0.902556,4.814541,1.727999
Gross Margin 12 Months Forward,31/12/2017,,63.717153,29.819145,,28.000343,33.514637,60.69361,29.425424
% Change YTD,31/12/2016,-0.155041,-0.048529,0.066293,0.054281,0.0412,0.054078,-0.05871,-0.029783
EPS NTMA Growth 1 year,31/12/2016,292.067764,0.421531,15.035395,10.735699,4.28731,8.279734,6.05366,7.043144
Price to Earnings 12 Months Forward,31/12/2016,32.613259,17.239548,16.125135,13.993863,17.845402,14.676223,17.555763,19.483111
Price to Book Value 12 Months Forward,31/12/2016,2.06348,1.731828,3.05086,1.281661,4.006559,3.243948,3.140421,4.656921
Price to Cash Flow 12 Months Forward,31/12/2016,10.034947,7.323292,9.544479,,12.076571,12.581913,17.832415,14.467834
Price to Sales 12 Months Forward,31/12/2016,1.468396,1.836155,1.604849,2.29126,1.676024,1.510647,6.451875,1.306938
Dividend Yield 12 Months Forward,31/12/2016,2.653367,3.760263,2.256591,1.923746,2.31635,1.937864,3.474019,2.888305
Dividend Payout 12 Months Forward,31/12/2016,86.538241,64.825205,36.387158,26.919777,41.335779,28.399424,60.990736,56.272557
Return on Equity 12 Months Forward,31/12/2016,6.364857,10.045664,19.447313,9.158843,22.480612,22.09901,17.867146,23.902437
Enterprise Value to Sales 12 Months Forward,31/12/2016,1.79694,3.282458,2.087702,2.1389,2.033818,2.025936,9.061028,1.508579
Enterprise Value to EBIT 12 Months Forward,31/12/2016,21.640629,14.906926,13.043957,27.624084,14.482177,12.24374,33.936175,14.879744
Enterprise Value to EBITDA 12 Months Forward,31/12/2016,9.548664,9.523397,9.264151,,11.162691,10.74941,18.479003,12.145966
Price to Free Cash Flow 12 Months Forward,31/12/2016,29.89603,-95.614241,16.295718,,18.315841,14.859539,22.887635,20.165821
PEG 12 Months Forward,31/12/2016,4.375005,3.334792,1.67624,1.722699,1.918002,1.25127,2.294488,2.348676
